Country,2020Migrants,population,Migrants per 100k Population
Burundi,11891,11948454,99.51915118
Comoros,870,872695,99.6911865
Djibouti,988,990447,99.75293983
Eritrea,3546,3554797,99.75253158
Ethiopia,114964,115434444,99.59245786
Kenya,53771,53968739,99.63360456
Madagascar,27691,27808395,99.57784331
Malawi,19130,19211425,99.57616366
Mauritius,1272,1272140,99.98899492
Mayotte,273,273905,99.66959347
Mozambique,31255,31398811,99.54198584
Réunion,895,896422,99.84136936
Rwanda,12952,13005303,99.59014411
Seychelles,98,98453,99.53988197
Somalia,15893,15965848,99.54372608
South Sudan,11194,11216250,99.8016271
Uganda,45741,45974931,99.49117705
United Republic of Tanzania,59734,60012400,99.53609587
Zambia,18384,18468257,99.54377395
Zimbabwe,14863,14899771,99.75321097
Angola,32866,33032075,99.4972311
Cameroon,26546,26655083,99.59076098
Central African Republic,4830,4843954,99.71192955
Chad,16426,16502877,99.53416001
Congo,5518,5540555,99.59291082
Democratic Republic of the Congo,89561,90003954,99.50785051
Equatorial Guinea,1403,1410419,99.4739861
Gabon,2226,2234448,99.62192004
Sao Tome and Principe,219,219844,99.61609141
Algeria,43851,43984569,99.69632759
Egypt,102334,102659126,99.68329557
Libya,6871,6887247,99.76410023
Morocco,36911,36985624,99.79823512
Sudan,43849,44019263,99.61320797
Tunisia,11819,11839918,99.82332648
Western Sahara,597,599769,99.53832225
Botswana,2352,2359585,99.67854517
Eswatini,1160,1162233,99.80786985
Lesotho,2142,2145194,99.85110904
Namibia,2541,2548663,99.69933255
South Africa,59309,59436725,99.78510761
Benin,12123,12175480,99.56896977
Burkina Faso,20903,20997293,99.55092783
Cabo Verde,556,557026,99.81580752
Côte d'Ivoir,26378,26486282,99.59117705
Gambia,2417,2427782,99.55589093
Ghana,31073,31181428,99.65226737
Guinea,13133,13191279,99.55820054
Guinea-Bissau,1968,1975718,99.60935721
Liberia,5058,5077411,99.61769886
Mali,20251,20346106,99.5325592
Mauritania,4650,4669775,99.57653206
Niger,24207,24346468,99.42715305
Nigeria,206140,206984347,99.59207205
Saint Helena,6,6080,98.68421053
Senegal,16744,16816539,99.56864489
Sierra Leone,7977,8004158,99.66070135
Togo,8279,8310934,99.61575919
Kazakhstan,18777,18815231,99.79680823
Kyrgyzstan,6524,6542426,99.71836135
Tajikistan,9538,9573310,99.63116205
Turkmenistan,6031,6046292,99.74708466
Uzbekistan,33469,33551824,99.75314606
China,1439324,1440297825,99.93238725
"China, Hong Kong SAR",7497,7507523,99.85983393
"China, Macao SAR",649,650846,99.71636916
"China, Taiwan Province of China",23817,25798588,92.31900599
Dem. People's Republic of Korea,25779,51276977,50.27402454
Japan,126476,126407422,100.0542516
Mongolia,3278,3287242,99.71885246
Republic of Korea,51269,51276977,99.98444331
Brunei Darussala,437,438202,99.72569728
Cambodia,16719,16758448,99.76460827
Indonesia,273524,274021604,99.81840702
Lao People's Democratic Republic,7276,7293542,99.75948586
Malaysia,32366,32436963,99.78122798
Myanmar,54410,54473253,99.88388246
Philippines,109581,109830324,99.77299166
Singapore,5850,5858322,99.85794567
Thailand,69800,69830779,99.95592345
Timor-Leste,1318,1322667,99.64715231
Viet Nam,97339,97490013,99.84509901
Afghanistan,38928,39074280,99.6256361
Bangladesh,164689,164972348,99.82824516
Bhutan,772,773069,99.86171998
India,1380004,1382345085,99.83064395
Iran (Islamic Republic of),83993,84176929,99.78149714
Maldives,541,542151,99.78769752
Nepal,29137,29225196,99.6982193
Pakistan,220892,221612785,99.67475478
Sri Lanka,21413,21428970,99.92547472
Armenia,2963,2964219,99.95887618
Azerbaijan,10139,10154978,99.84265845
Bahrain,1702,1711057,99.47067807
Cyprus,1207,1208886,99.8439886
Georgia,3989,3987805,100.0299664
Iraq,40223,40372771,99.62902967
Israel,8656,8678517,99.74054323
Jordan,10203,10220604,99.82775969
Kuwait,4271,4281320,99.75895285
Lebanon,6825,6819976,100.0736659
Oman,5107,5128058,99.58935722
Qatar,2881,2889284,99.71328537
Saudi Arabia,34814,119082871,29.23510301
State of Palestine,5101,5121112,99.6072728
Syrian Arab Republic,17501,17571053,99.60131587
Turkey,84339,84495243,99.81508663
United Arab Emirates,9890,9910892,99.78920162
Yemen,29826,29935468,99.63432006
Belarus,9449,9448772,100.002413
Bulgaria,6948,6939018,100.1294419
Czechia,10709,10712481,99.96750519
Hungary,9660,9655983,100.0416012
Poland,37847,37839255,100.0204682
Republic of Moldova,4034,4032294,100.0423084
Romania,19238,19214608,100.1217407
Russian Federation,145934,145945524,99.9921039
Slovakia,5460,5460109,99.9980037
Ukraine,43734,43686577,100.1085528
Channel Islands,174,174140,99.91960492
Denmark,5792,5795780,99.93478013
Estonia,1327,1326693,100.0231402
Faroe Islands,49,48896,100.2126963
Finland,5541,5542237,99.97768049
Iceland,341,341628,99.81617432
Ireland,4938,4947267,99.81268446
Isle of Man,85,85112,99.86840869
Latvia,1886,1882408,100.1908194
Lithuania,2722,2715340,100.2452732
Norway*,5421,5428594,99.86011111
Sweden,10099,10110233,99.88889475
United Kingdom,67886,67948282,99.90833911
Albania,2878,2877239,100.026449
Andorra,77,77287,99.62865682
Bosnia and Herzegovina,3281,3277152,100.117419
Croatia,4105,4100719,100.1043963
Gibraltar,34,33689,100.92315
Greece,10423,10413936,100.0870372
Holy See,1,801,124.8439451
Italy,60462,60446035,100.026412
Malta,442,441750,100.0565931
Montenegro,628,628080,99.98726277
North Macedonia,2083,2083359,99.98276821
Portugal,10197,10191409,100.0548599
San Marino,34,33944,100.1649776
Serbia,8737,8731081,100.0677923
Slovenia,2079,2078989,100.0005291
Spain,46755,46757980,99.99362676
Austria,9006,9015361,99.89616611
Belgium,11590,11598451,99.92713682
France,65274,65298930,99.96182173
Germany,83784,83830972,99.9439682
Liechtenstein,38,38147,99.6146486
Luxembourg,626,627704,99.72853447
Monaco,39,39290,99.2618987
Netherlands,17135,17141544,99.96182374
Switzerland,8655,8665615,99.87750437
Anguilla,15,15026,99.82696659
Antigua and Barbuda,98,98069,99.92964137
Aruba,107,106845,100.14507
Bahamas,393,393893,99.77328868
Barbados,287,287437,99.84796668
"Bonaire, Sint Eustatius and Saba",26,26265,98.99105273
British Virgin Islands,30,30266,99.12112602
Cayman Islands,66,65854,100.2217026
Cuba,11327,11325391,100.014207
Curaçao,164,164211,99.87150678
Dominica,72,72017,99.97639446
Dominican Republic,10848,10866667,99.8282178
Grenada,113,112614,100.3427638
Guadeloupe,400,400136,99.96601156
Haiti,11403,11426356,99.79559538
Jamaica,2961,2963429,99.91803414
Martinique,375,375213,99.94323224
Montserrat,5,4993,100.1401963
Puerto Rico,2861,2846860,100.4966876
Saint Barthélemy,10,9882,101.1940903
Saint Kitts and Nevis,53,53264,99.50435566
Saint Lucia,184,183774,100.1229771
Saint Martin (French part),39,38778,100.5724896
Saint Vincent and the Grenadines,111,111002,99.99819823
Sint Maarten (Dutch part),43,42960,100.0931099
Trinidad and Tobago,1399,1400283,99.90837566
Turks and Caicos Islands,39,38806,100.4999227
United States Virgin Islands,104,104398,99.61876664
Belize,398,398845,99.78813825
Costa Rica,5094,5102158,99.84010687
El Salvador,6486,6491923,99.90876355
Guatemala,17916,17971382,99.69183227
Honduras,9905,9931333,99.73484929
Mexico,128933,129166028,99.81959033
Nicaragua,6625,6638075,99.80303025
Panama,4315,4326296,99.73889905
Argentina,45196,45267449,99.84216252
Bolivia (Plurinational State of),11673,11700207,99.76746565
Brazil,212559,212821986,99.87642912
Chile,19116,19144605,99.85058454
Colombia,50883,50976248,99.81707559
Ecuador,17643,17688599,99.74221248
Falkland Islands (Malvinas),3,3497,85.78781813
French Guiana,299,299958,99.68062195
Guyana,787,787215,99.97268853
Paraguay,7133,7147553,99.79639186
Peru,32972,33050211,99.76335703
Suriname,587,587541,99.90792132
Uruguay,3474,3475842,99.94700565
Venezuela (Bolivarian Republic of),28436,28421581,100.0507326
Bermuda,62,62237,99.61919758
Canada,37742,37799407,99.84812725
Greenland,57,56787,100.3750858
Saint Pierre and Miquelon,6,5789,103.6448437
United States of America,331003,331341050,99.89797521
Australia,25500,25550683,99.8016374
New Zealand,4822,4829021,99.85460821
Fiji,896,897573,99.82474963
New Caledonia,285,285972,99.66010658
Papua New Guinea,8947,8975531,99.68212466
Solomon Islands,687,689671,99.61271389
Vanuatu,307,308337,99.56638353
Guam,169,169031,99.98166017
Kiribati,119,119760,99.36539746
Marshall Islands,59,59259,99.56293559
Micronesia (Fed. States of),115,115231,99.79953311
Nauru,11,10836,101.5134736
Northern Mariana Islands,58,57619,100.6612402
Palau,18,18109,99.39808935
American Samoa,55,55169,99.69366855
Cook Islands,18,17567,102.4648489
French Polynesia,281,281191,99.93207464
Niue,2,1628,122.8501229
Samoa,198,198643,99.67630372
Tokelau,1,1360,73.52941176
Tonga,106,105901,100.0934835
Tuvalu,12,11817,101.5486164
Wallis and Futuna Islands,11,11203,98.18798536
